Observation Year,Standard Week,Pest Value,MaxT,MinT,RH1(%),RH2(%),RF(mm),WS(kmph),SSH(hrs),EVP(mm),PEST NAME,Location
1995,48,74,29.8,19.1,94.9,65,0,2.1,6.6,19.7,LeafFolder,Maruteru
1984,41,0,29.1,20.5,90.1,64.7,62.6,6.2,5.4,5.5,LeafBlast,Rajendranagar
2010,38,100,30.1,21.9,92.7,71.1,60.5,3.6,6.2,2.9,Whitebackedplanthopper,Ludhiana
2009,17,114,34.3,25.5,86.4,32.6,0,5.3,9.5,5,Caseworm,Maruteru
1999,49,0,19.5,7,51.4,42.7,0.6,4.2,8,1.7,LeafBlast,Palampur
1962,39,15,32.5,24.9,88.1,72.3,3.8,2.9,5.7,2.4,Gallmidge,Cuttack
2000,15,0,41.4,20.9,52.3,12.7,0,4.2,9.2,8.7,Miridbug,Raipur
2009,31,41,32.8,27.3,87,63.7,33.6,2.1,6.1,4,Greenleafhopper,Maruteru
2008,2,68,26.3,18.6,85.3,55.9,0,3,8.6,2.8,ZigZagleafhopper,Maruteru
2009,23,0,41.5,26.4,60,23.4,31.6,10.2,8,11.2,LeafFolder,Raipur
2004,37,151,29.9,25.2,85,72.1,28.2,6.8,6,3.3,Yellowstemborer,Maruteru
1996,33,8688,30.1,23.3,93.4,73,71.2,5.1,3.4,28.2,Greenleafhopper,Maruteru
1995,39,680,31.4,22.2,87.4,64.7,3.3,9.4,4.6,4.4,Yellowstemborer,Raipur
1994,49,281,29.3,17.4,88,67,89.6,1.8,0,0,Brownplanthopper,Maruteru
1996,40,21,30.7,23.8,92.7,70.3,34.2,4.2,6.2,3.9,Greenleafhopper,Raipur
2009,1,4,27.4,20.6,86.9,50.3,0,2.9,5.2,2.3,LeafFolder,Maruteru
1999,33,45,31.4,24.4,85.7,71.3,0,7.3,4.2,4.1,Miridbug,Maruteru
2009,8,13,30.9,19.3,91.7,36.1,0,6.4,8.5,2.7,LeafFolder,Maruteru
2009,38,7680,32,25.3,89.4,59.4,12.4,1.9,4.2,3.4,Brownplanthopper,Maruteru
2011,2,0,65.8,17.1,84.1,48.1,0,0,7.6,0,Whitebackedplanthopper,Maruteru
2007,35,10,30,25.2,94.4,79.3,61.3,3.7,3.1,2.7,Caseworm,Raipur
1996,14,0,39.7,21.3,52.4,17.7,0,4.6,8.7,8.7,Greenleafhopper,Raipur
1967,3,0,26.6,13.5,98.6,46.6,0,1.3,9.9,3.9,Gallmidge,Cuttack
2007,7,300,16.5,8.8,96.1,75.6,52.4,3,3.2,1,Greenleafhopper,Ludhiana
1994,41,0,25.9,14,39.3,28.9,3.3,6.3,9.8,4.5,LeafBlast,Palampur
1996,33,0,31.5,24.5,95,76.6,85.6,1.9,2.7,3.4,Gallmidge,Raipur
2000,24,0,31.4,23.5,80.6,56.6,113.9,5.7,3.2,5.3,Brownplanthopper,Rajendranagar
2011,33,0,29.9,24,96,80.4,32.1,0,4.9,0,Gallmidge,Ludhiana
1995,14,0,37.3,23.5,72.7,32.3,0,4.3,10.6,5.5,Gallmidge,Rajendranagar
2000,49,0,20.2,7.8,36.1,29.7,0,4.3,9.3,2.5,LeafBlast,Palampur
2000,1,0,26.9,7.6,88.1,34,0,1.9,8.7,2.8,Yellowstemborer,Raipur
2009,48,0,27.1,17.5,84.1,76.6,0,1.9,8.4,2.8,Whitebackedplanthopper,Maruteru
1996,6,21,29.5,18.1,9.3,67,0,1.7,8.7,20.6,LeafFolder,Maruteru
2003,36,3279,29.2,24.9,90.3,79.9,13.6,7.1,5.2,3.4,Brownplanthopper,Maruteru
2005,13,279,32.4,23.2,92.3,67.9,0,2.7,8.6,3.8,Greenleafhopper,Maruteru
2002,3,142,28.9,17.2,92.1,67.1,0,1.8,4.7,2.3,Brownplanthopper,Maruteru
2010,3,0,14.8,5.5,100,75.1,0,3.8,2.7,0.8,LeafFolder,Ludhiana
2000,42,8675,29.7,22.1,92.9,80.4,0,3.5,2.8,2.8,Whitebackedplanthopper,Maruteru
1999,40,50,28,22.9,94.6,85.9,0,3.4,2.9,2.1,Yellowstemborer,Maruteru
2008,47,588,30.4,22.4,88.6,71.4,0,1.6,6.4,3,ZigZagleafhopper,Maruteru
1992,16,0,39.1,24,45.4,21.6,1.8,3.2,10,5.9,LeafBlast,Rajendranagar
1959,12,0,36.8,21,87,46,0,6.3,9,8.7,Gallmidge,Cuttack
2010,48,0,29.3,16.4,92.4,55.7,0,3.1,8.7,7.3,Gallmidge,Rajendranagar
2011,33,33,29.9,24.5,85.3,72.3,78.6,0,2.7,0,ZigZagleafhopper,Maruteru
2003,48,0,20.2,7.2,66.9,42.4,0,5,8.6,2.2,LeafBlast,Palampur
2007,27,0,32.2,24.8,80.1,58.7,0,19.4,6.8,6.8,Brownplanthopper,Rajendranagar
2009,18,81,41.4,26.1,45.6,18.7,0,4.8,9.5,8,Brownplanthopper,Rajendranagar
2001,51,1,26.5,17.9,85.6,67.1,0,6.1,3.9,2.9,Whitebackedplanthopper,Maruteru
2008,7,0,28.6,10.3,82.3,28.4,0,2.7,9.5,3.9,Greenleafhopper,Raipur
2007,27,74,34.1,27.6,85.9,68.1,80.9,6.2,6.8,4.5,Yellowstemborer,Ludhiana
2010,42,9420,30.4,23.9,84.7,56.7,37.6,1.6,4.7,2.8,Greenleafhopper,Maruteru
1995,24,0,38,26.9,86.7,63,0,1.6,5.1,33.7,LeafFolder,Maruteru
2001,29,0,32.8,26.5,91,74,79,4.8,6.1,3.5,Greenleafhopper,Ludhiana
2008,40,3457,31.6,23.6,85.3,82,7.5,1.8,6.1,2.9,Greenleafhopper,Maruteru
2000,2,2,27.3,19.1,87.1,68.6,0,3.7,6.4,2.8,Greenleafhopper,Maruteru
1995,29,0,26.8,20.9,86.4,76.4,116.3,4.3,2.9,1.2,LeafBlast,Palampur
2000,9,110,29.2,18.3,94,65,0,2.2,7.6,2.8,LeafFolder,Maruteru
2010,1,0,28.8,12.1,79.3,35.9,0,3.2,8.9,8.9,Caseworm,Rajendranagar
2001,2,2,27.3,19.1,90.7,68.6,0,3.7,6.4,2.8,Whitebackedplanthopper,Maruteru
2011,35,44,33,26.9,91.9,72.6,7.4,0,4.1,0,Brownplanthopper,Ludhiana
2005,45,390,28.2,21.6,87,71.6,3.4,2.3,7.2,2.5,Yellowstemborer,Maruteru
2002,9,986,32,18,92.4,63.3,0,1.6,6.5,2.6,Whitebackedplanthopper,Maruteru
2007,23,14,41.6,27.3,56.1,33.9,0,7.3,11.1,12,LeafFolder,Ludhiana
1995,26,18,31.2,24.6,88,69,48,2,2,38.8,Miridbug,Maruteru
2000,31,10,32.3,25.4,89,63.9,9.5,6.2,5.9,4.8,Caseworm,Raipur
2008,3,23,26.6,19.4,95.3,70,0,4.2,7.9,2.6,Gallmidge,Maruteru
1998,3,6,28.9,20,93.1,89.7,0,2.7,8,3.1,Greenleafhopper,Maruteru
2007,49,2706,27.4,19,84.9,64.4,0,2.1,5.9,2.8,Brownplanthopper,Maruteru
1996,12,0,18.9,9.1,67,53.1,28.5,6.1,5.7,1.6,LeafBlast,Palampur
1998,22,0,34.6,22,37.1,28.6,0.6,5.2,7.9,7.7,LeafBlast,Palampur
1993,48,0,21.3,10,35,25.1,0,5.6,7.8,2.8,LeafBlast,Palampur
2010,30,20,28.3,23.6,84.7,77.7,91.2,1.7,0.1,4.1,Miridbug,Maruteru
2007,34,0,30.3,24.5,94.9,79.4,67,4.8,4,3.2,Gallmidge,Raipur
2009,26,0,34.4,25,73,45.6,0,12,6,7.5,LeafFolder,Rajendranagar
2007,36,80,31.9,25.6,94.3,82.6,60.6,4.5,3.6,3,Yellowstemborer,Cuttack
2007,6,0,31.3,16.4,85.3,37.3,0,4.5,7.6,4.6,LeafFolder,Raipur
2007,32,48,29.7,24.9,92.3,83,110.9,9.4,2.3,3.1,Yellowstemborer,Raipur
1987,22,0,39.4,25.3,56.1,25.3,7.1,8.2,10.2,9.3,Yellowstemborer,Rajendranagar
2006,7,12,29.4,18.8,93.7,69,0,5.1,9,3,LeafFolder,Maruteru
1987,18,0,21.6,11.9,57,52.6,75,8.7,4.9,4.1,LeafBlast,Palampur
2011,11,0,35.1,16.3,66.9,21.4,0,0,0,0,Greenleafhopper,Rajendranagar
2002,27,12,35.1,27.1,72.4,50.4,1.2,11.6,7.6,7.9,Yellowstemborer,Maruteru
2005,30,233,26.7,24.6,89.7,88,0,13.2,1.9,2.9,Greenleafhopper,Maruteru
1997,45,0,30,15.7,94.3,43.6,0,0.9,9.2,3,Gallmidge,Raipur
1997,20,0,35.1,25.1,87.8,58,20.8,2.1,6.1,30.7,Brownplanthopper,Maruteru
2000,44,656,30,21,88.9,72.9,0,3.7,5.6,2.4,Yellowstemborer,Maruteru
2009,32,4,31.8,25.4,86.6,74.3,99.6,8.5,3.8,4.9,Caseworm,Raipur
1997,7,97,29.9,9.5,77.6,23.1,0,2,10.5,4.6,Yellowstemborer,Raipur
2010,19,0,35.5,26.6,89.6,42.9,0,3,9.2,4.8,Caseworm,Maruteru
1989,47,40,30.2,12.2,69.3,34.1,0,3.1,10.4,3.2,Yellowstemborer,Rajendranagar
2007,9,3,33.9,16.6,66.6,21.6,0,4.6,10.1,6.2,Gallmidge,Rajendranagar
2007,50,0,28.2,13,93.3,38.9,0,2,8.2,2.6,Gallmidge,Raipur
1992,44,14,30.5,15.7,70.9,36.7,0,1.8,8.3,4,Yellowstemborer,Rajendranagar
1993,17,0,39.6,24.6,56.7,25.1,8.8,3.8,9.9,4.2,Brownplanthopper,Rajendranagar
1990,3,0,19.6,9.4,43,39.6,0,4.9,4.8,12.7,LeafBlast,Palampur
1991,23,0,30.5,21.3,69.7,53.4,34,5.8,7.9,6.1,LeafBlast,Palampur
2002,9,0,33.6,16.7,73.6,26,0,4.1,8.9,6.3,Gallmidge,Raipur
1999,44,1145,30.1,20.5,90,60.1,0,4.1,7.3,3.8,Greenleafhopper,Raipur
2001,2,19,30.6,14.4,81.9,28.6,0,2.8,8.7,4.2,Miridbug,Rajendranagar
2005,14,80,33.4,23.1,91,60.4,0,2.8,8.9,4,ZigZagleafhopper,Maruteru
2001,20,0,36.3,26.9,88,55,24,9.1,9.1,8.2,Gallmidge,Cuttack
1996,23,0,36.5,27.7,84.7,59,0.6,6.7,7.1,5.9,Yellowstemborer,Cuttack
1994,12,0,31.3,21.9,91,65,8.8,2.1,7.7,25.7,Brownplanthopper,Maruteru
1996,6,0,18.1,7.8,53.7,49.1,3.8,5.1,4.9,2.2,LeafBlast,Palampur
2004,29,1539,31.4,25.6,93.4,82.7,7.4,7.6,5.3,4,Gallmidge,Maruteru
1994,41,0,30.8,23.9,90,72,38.2,1.6,5.6,18.8,Yellowstemborer,Maruteru
1984,12,0,36.6,19.3,66.6,21.3,0,3.9,10.3,7,LeafBlast,Rajendranagar
1998,31,0,30.3,23.4,92.9,87.7,0,9.2,3.3,3.6,LeafFolder,Maruteru
2000,34,641,28,23,91.4,76.6,164.9,5.9,2,3.4,Greenleafhopper,Rajendranagar
2011,21,469,35.7,26.3,84.6,51.4,8.8,0,8.7,0,Brownplanthopper,Maruteru
2000,21,1671,37.4,25.9,80.4,59.6,0,6.4,4.4,7.4,Yellowstemborer,Maruteru
2001,7,0,28.6,17.2,95.1,51,33,2.5,9.4,3.5,Gallmidge,Cuttack
2002,34,4,29.3,24.3,89,75.3,1,8.5,5.7,3.9,Yellowstemborer,Maruteru
1959,50,0,27,12.4,81.9,46,0,2.5,9.3,3.6,Gallmidge,Cuttack
1998,28,0,30.6,24.8,89.9,78.3,91.8,7.5,2.8,3.6,Gallmidge,Raipur
1995,49,0,29.2,14.6,86.6,41.3,0,1.6,8.2,2.8,Greenleafhopper,Rajendranagar
2011,12,251,30.8,22,87.4,40.4,0,0,8.1,0,Yellowstemborer,Maruteru
1991,26,0,32.8,22.8,39.7,34.3,0,6.6,10.9,8.1,LeafBlast,Palampur
1988,5,0,31.4,14.7,77.4,37.9,0,3.1,11,4.8,LeafBlast,Rajendranagar
2009,49,0,23.5,8,94.4,40.7,0,1.3,5.1,1.3,Greenleafhopper,Ludhiana
1999,40,260,31.1,22.9,89.6,60.6,14.6,3,8.6,3.7,Gallmidge,Rajendranagar
1999,29,0,30.2,23.2,87.6,67.7,60.8,7,4.6,4,NeckBlast,Rajendranagar
1996,36,700,28.7,21.9,94.9,76.4,54.2,1.2,2.5,2.9,Brownplanthopper,Rajendranagar
1999,48,0,27.9,16.3,85.9,43.3,0,1.3,8.2,3.1,Yellowstemborer,Cuttack
1997,5,17,27.1,18.4,89.4,68,0,1.8,8.6,20,Whitebackedplanthopper,Maruteru
1997,35,145,31.7,23.7,93.9,76,93.6,4.2,5.8,23.2,Yellowstemborer,Maruteru
2003,15,1570,32.9,23.2,88,54.6,0,3.7,8.5,4.7,Brownplanthopper,Maruteru
2001,51,7,27.1,9.8,89.9,24.1,0,2.4,7,3.3,Yellowstemborer,Raipur
1976,9,6,33.5,14.7,65.9,18.8,0,2.4,12,6.5,Yellowstemborer,Rajendranagar
1984,6,0,29.3,17.9,87,49.9,0,6.7,7.1,4.3,LeafBlast,Rajendranagar
2010,39,950,31.2,21.9,87.6,67.6,87.2,4.2,6.4,6.3,Greenleafhopper,Rajendranagar
1995,17,0,35,18.1,61.4,27.1,5.2,6.1,9.6,5.7,Yellowstemborer,Ludhiana
2011,1,0,27.1,16.9,85.4,62.4,0,0,6,0,Whitebackedplanthopper,Maruteru
2007,48,8,28.4,11.1,91.1,27.9,0,1.8,8.3,2.7,Yellowstemborer,Raipur
1999,39,0,34.4,24.3,88.6,55.9,0,4.3,8.2,4,Yellowstemborer,Ludhiana
2011,14,97,31.3,24.3,87.4,37.9,0,0,7.6,0,Whitebackedplanthopper,Maruteru
